original_title,overview,popularity,release_date,title,vote_average,vote_count
The White Tiger,An ambitious Indian driver uses his wit and cunning to escape from poverty and rise to the top. An epic journey based on the New York Times bestseller.,11.702,2021-01-13,The White Tiger,7.0,770
Accepted,"A high school slacker who's rejected by every school he applies to opts to create his own institution of higher learning, the South Harmon Institute of Technology, on a rundown piece of property near his hometown.",19.833,2006-08-18,Accepted,6.4,1393
The Wedding Singer,"Robbie, a local rock star turned wedding singer, is dumped on the day of his wedding. Meanwhile, waitress Julia finally sets a wedding date with her fiancée Glenn. When Julia and Robbie meet and hit it off, they find that things are more complicated than anybody thought.",14.832,1998-02-13,The Wedding Singer,6.8,1532
Boon,"Mercenary Nick Boon is trying to atone for his life as an enforcer for a ruthless syndicate. Running from his past, Boon moves to a remote area in the pacific northwest where he meets a struggling widow and her son. When he finds the pair living in fear of a criminal kingpin, Boon realizes the only way to protect them is to do what he does best: kill.",15.574,2022-04-01,Boon,6.2,20
Hell House LLC II: The Abaddon Hotel,"Eight years after the opening night tragedy of HELL HOUSE LLC, many unanswered questions remain. Thanks to an anonymous tip, an investigative journalist is convinced that key evidence is hidden inside the abandoned Abaddon Hotel. She assembles a team to break into the hotel in hopes of discovering the truth. But the source of the tip and the secrets of the Abaddon Hotel are more horrifying than any of them could have imagined.",17.441,2018-09-14,Hell House LLC II: The Abaddon Hotel,5.7,103
House of the Witch,"A group of high-school kids set out to play a Halloween prank at an abandoned house, but once they enter they become victims of a demonic witch who has set her wrath upon them.",19.189,2017-10-07,House of the Witch,4.7,122
American Ultra,"Mike is an unmotivated stoner whose small-town life with his live-in girlfriend, Phoebe, is suddenly turned upside down.  Unbeknownst to him, Mike is actually a highly trained, lethal sleeper agent. In the blink of an eye, as his secret past comes back to haunt him, Mike is thrust into the middle of a deadly government operation and is forced to summon his inner action-hero in order to survive.",14.536,2015-08-19,American Ultra,6.1,2560
School Spirits,A girl relocates to a small town only to find it inhabited by ghosts. A struggle against a bad spirit ensues to keep the town's children safe.,10.808,2017-10-06,School Spirits,6.3,4
The Princess Switch: Switched Again,"When Duchess Margaret unexpectedly inherits the throne & hits a rough patch with Kevin, it’s up to Stacy to save the day before a new lookalike — party girl Fiona — foils their plans.",15.199,2020-11-19,The Princess Switch: Switched Again,6.9,790
Marvel One-Shot: The Consultant,"Agent Coulson informs Agent Sitwell that the World Security Council wishes Emil Blonsky to be released from prison to join the Avengers Initiative. As Nick Fury doesn't want to release Blonsky, the two agents decide to send a patsy to sabotage the meeting...",16.532,2011-09-13,Marvel One-Shot: The Consultant,6.4,461
Desecho,"After a disastrous event on his construction site, Armando acts quickly to save his crew, but instead stumbles upon an unspeakable truth.",8.714,2017-09-01,Debris,2.0,1
Do You Believe?,"When a pastor is shaken by the visible faith of a street-corner preacher, he is reminded that true belief always requires action. His response ignites a journey that impacts everyone it touches in ways that only God could orchestrate.",18.333,2015-03-20,Do You Believe?,6.6,122
Gettysburg,"In the summer of 1863, General Robert E. Lee leads the Confederate Army of Northern Virginia into Gettysburg, Pennsylvania with the goal of marching through to Washington, D.C. The Union Army of the Potomac, under the command of General George G. Meade, forms a defensive position to confront the rebel forces in what will prove to be the decisive battle of the American Civil War.",13.678,1993-10-08,Gettysburg,6.9,258
The Negotiator,"The police try to arrest expert hostage negotiator Danny Roman, who insists he's being framed for his partner's murder in what he believes is an elaborate conspiracy. Thinking there's evidence in the Internal Affairs offices that might clear him, he takes everyone in the office hostage and demands that another well-known negotiator be brought in to handle the situation and secretly investigate the conspiracy.",16.829,1998-07-29,The Negotiator,7.1,1802
The Science of Interstellar,"Matthew McConaughey narrates a fascinating look at Christopher Nolan's sci-fi film Interstellar, including scientific foundations, the work of consulting Scientist Kip Thorne, basic film themes, the science behind the search for planets capable of hosting life, space-time and the theory of relativity, the science of wormholes and black holes, crafting the film's visuals based on real scientific observation, the birth of the universe, the Dust Bowl and the evolution of dust as a toxin, the likelihood of future dust storms, the prospects of escaping a dying or doomed planet, and the possibilities of colonizing Mars.",15.653,2014-11-25,The Science of Interstellar,6.8,24
Historias para no contar,"Five tales of human vulnerability and the hilarious, painful, and awkward curveballs life throws us.",15.505,2022-11-25,Stories Not to be Told,5.8,16
Children of the Corn,"A psychopathic twelve-year-old girl in a small town in Nebraska recruits all the other children and goes on a bloody rampage, killing the corrupt adults and anyone else who opposes her. A bright high schooler who won't go along with the plan is the town's only hope of survival.",15.306,2020-10-23,Children of the Corn,5.7,47
Day of the Dead: Bloodline,"In a world overrun by zombies, military personnel and survivalists live in an underground bunker while they seek a cure.",16.935,2017-12-29,Day of the Dead: Bloodline,4.6,551
South Park: Post COVID: The Return of COVID,"If Stan, Kyle and Cartman could just work together, they could go back in time to make sure Covid never happened. But traveling back to the past seems to be the easy answer until they meet Victor Chaos.",17.711,2021-12-16,South Park: Post COVID: The Return of COVID,7.5,320
La Très Très Grande Classe,"After five years enduring horrible work conditions, Sophia finally gets chosen for a long-awaited transfer from her thankless teaching job at a rough middle school. Ecstatic to start a new life teaching at the French Lycée in Barcelona, her hopes are dashed to bits when a well- connected, over-qualified teacher at an upscale Paris school cuts in to take the position. Determined to stand her ground, Sophia and her clever neighbour Mr. Picard join forces to sabotage her competitor’s candidacy.",17.879,2022-08-10,Two Much for the Job,5.4,38
Sound of Freedom,"The story of Tim Ballard, a former US government agent, who quits his job in order to devote his life to rescuing children from global sex traffickers.",16.317,2023-07-04,Sound of Freedom,0.0,0
The Siege,"The secret US abduction of a suspected terrorist from his Middle East homeland leads to a wave of terrorist attacks in New York.  An FBI senior agent and his team attempt to locate and decommission the enemy cells, but must also deal with an Army General gone rogue and a female CIA agent of uncertain loyalties.",10.428,1998-11-06,The Siege,6.3,1158
Sleeping with the Enemy,"A young woman fakes her own death in an attempt to escape her nightmarish marriage, but discovers it is impossible to elude her controlling husband.",20.314,1991-01-13,Sleeping with the Enemy,6.5,919
"I Love You, Beth Cooper","A valedictorian's declaration of love for a high-school cheerleader launches a night of revelry, reflection and romance for a group of graduating seniors.",20.311,2009-07-10,"I Love You, Beth Cooper",5.9,773
Celeste & Jesse Forever,"Celeste and Jesse met in high school and got married young. They laugh at the same jokes and finish each other’s sentences. They are forever linked in their friends’ minds as the perfect couple – she, a high-powered businesswoman and budding novelist; he, a free spirit who keeps things from getting boring. Their only problem is that they have decided to get divorced. Can their perfect relationship withstand this minor setback?",20.31,2012-08-03,Celeste & Jesse Forever,6.4,410
My Fair Lady,A snobbish phonetics professor agrees to a wager that he can take a flower girl and make her presentable in high society.,13.177,1964-10-21,My Fair Lady,7.5,1131
甘い鞭,"When Naoko was a freshman in high school she was kidnapped and imprisoned by a man who lived next door. For one month, she went through hell. Finally, she killed the man and escaped. Now as an adult, Naoko is a doctor specializing in infertility treatment, but she also has another side. Naoko is a popular master in a S&M club.",14.19,2013-09-21,Sweet Whip,5.9,17
Lego Scooby-Doo!: Haunted Hollywood,"The gang find themselves in a tinsel-town twist! While on a VIP tour of the legendary Brickton Studios, Scooby and friends get a first-hand experience of the rumored hauntings when classic movie monsters drop in for a creepy casting call.",11.181,2016-01-28,Lego Scooby-Doo!: Haunted Hollywood,7.5,209
Don't Hang Up,An evening of drunken prank calls becomes a nightmare for a pair of teenagers when a mysterious stranger turns their own game against them.,17.932,2016-10-22,Don't Hang Up,6.2,444
The Hundred-Foot Journey,A story centered around an Indian family who moves to France and opens a restaurant across the street from a Michelin-starred French restaurant.,11.68,2014-08-06,The Hundred-Foot Journey,7.3,1294
The Last Days on Mars,"On the last day of the first manned mission to Mars, a crew member of Tantalus Base believes he has made an astounding discovery – fossilized evidence of bacterial life. Unwilling to let the relief crew claim all the glory, he disobeys orders to pack up and goes out on an unauthorized expedition to collect further samples. But a routine excavation turns to disaster when the porous ground collapses and he falls into a deep crevice. His devastated colleagues attempt to recover his body. However, when another vanishes, they start to suspect that the life-form they have discovered is not without danger.",11.929,2013-08-11,The Last Days on Mars,5.4,707
Titan A.E.,"A young man finds out that he holds the key to restoring hope and ensuring survival for the human race, while an alien species called the Drej are bent on mankind's destruction.",15.675,2000-06-16,Titan A.E.,6.6,953
가자 장미여관으로 4,"Min-seok, with permission from his girlfriend Yoo-jeong, travels alone over the weekend. He happened to meet Ga-in, the charming hostess at the Rose Motel. The two had a hot night.  Next day, upon returning from a trip, Min-seok meets his friend, Yeong-ho and had drinks. Drunk Min-seok tells Yeong-ho about the secret of the Rose Motel.",19.44,2020-05-28,Let's Go To The Rose Motel 4,0.0,0
마약왕,"Busan, South Korea, 1970s. Lee Doo-sam is a small-time smuggler. After helping a drug gang to smuggle meth, he falls into the dark crime world. Quick-witted and full of ambition, he eventually takes over the drug underworld and starts to lead a double life: a good community leader during the day but an infamous drug lord during the night.",13.184,2018-12-19,The Drug King,6.3,113
The Way Back,"A former basketball all-star, who has lost his wife and family foundation in a struggle with addiction, attempts to regain his soul and salvation by becoming the coach of a disparate ethnically mixed high school basketball team at his alma mater.",13.439,2020-03-05,The Way Back,6.6,955
Judgment at Nuremberg,"In 1947, four German judges who served on the bench during the Nazi regime face a military tribunal to answer charges of crimes against humanity. Chief Justice Haywood hears evidence and testimony not only from lead defendant Ernst Janning and his defense attorney Hans Rolfe, but also from the widow of a Nazi general, an idealistic U.S. Army captain and reluctant witness Irene Wallner.",11.875,1961-12-18,Judgment at Nuremberg,8.1,656
My Octopus Teacher,"After years of swimming every day in the freezing ocean at the tip of Africa, Craig Foster meets an unlikely teacher: a young octopus who displays remarkable curiosity. Visiting her den and tracking her movements for months on end he eventually wins the animal’s trust and they develop a never-before-seen bond between human and wild animal.",13.641,2020-09-04,My Octopus Teacher,7.9,765
Balto,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",20.282,1995-12-22,Balto,7.3,1849
Psycho Goreman,"Siblings Mimi and Luke unwittingly resurrect an ancient alien overlord. Using a magical amulet, they force the monster to obey their childish whims, and accidentally attract a rogues’ gallery of intergalactic assassins to small-town suburbia.",15.142,2020-10-29,Psycho Goreman,6.0,287
哪吒之魔童降世,"The Primus extracts a Mixed Yuan Bead into a Spirit Seed and a Demon Pill. The Spirit Seed can be reincarnated as a human to help King Zhou establish a new dynasty, whereas the Demon Pill will create a devil threatening humanity. Ne Zha is the one who is destined to be the hero, but instead he becomes a devil incarnate, because the Spirit Seed and a Demon Pill are switched.",13.435,2019-07-26,Ne Zha,7.9,341
Boso Dos,Things get chaotic when the gang leader falls madly in love with her. Will she be successful with her mission?,16.383,2023-02-03,Boso Dos,2.5,2
LEGO DC Comics Super Heroes: Justice League vs. Bizarro League,"Superman’s clone, Bizarro, has become an embarrassing problem. Chaos and destruction follow Bizarro everywhere as he always hears the opposite of what is said, says the opposite of what he means and does the opposite of what is right. And when the citizens of Metropolis keep confusing Bizarro with Superman, the Man of Steel decides it’s time to find a new home for him…on another planet! It’s up to the Justice League to come to terms with their backward counterparts and team up with them to stop Darkseid and save the galaxy!",9.677,2015-02-10,LEGO DC Comics Super Heroes: Justice League vs. Bizarro League,6.7,115
Diavolo in corpo,"An Italian high school student becomes infatuated with a woman he sees outside his class window. Her fiancée is in jail for being involved in a radical movement, and she spends much time in court providing moral support. At first she resists the student's advances, but eventually begins an affair with him. Their situation is condemned by her family and his father, who is the woman's psychologist.",17.272,1986-04-22,Devil in the Flesh,5.7,45
Sing Street,A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes.,12.428,2016-03-11,Sing Street,7.9,2074
Crash,"In post-Sept. 11 Los Angeles, tensions erupt when the lives of a Brentwood housewife, her district attorney husband, a Persian shopkeeper, two cops, a pair of carjackers and a Korean couple converge during a 36-hour period.",20.275,2005-05-06,Crash,7.2,3111
是日精選,"A driver who has ties with criminals follows certain principles and distinguishes himself from the “bad guys”. But just as the unanticipated carrots found in the usual “Today’s Special”, this night’s mission is made special when a young woman is seemingly in grave danger. Trying his best to avert the crisis through a night’s battle of car chases and fist fights, he arrives at the totally unexpected destination of futility. Appropriating the most popular elements of Hong Kong genre cinema: triads, street fights and car chases, Tiger YAU’s first drama short cooks up a visually rich bowl of “Today’s Special”.",9.334,2023-06-09,Today's Special,0.0,0
名探偵コナン 探偵たちの鎮魂歌（レクイエム）,"Synopsis Kogoro and Conan came to Yokohama according to a request from a mysterious man. But that was a trap of this man. Ran and the Detective Boys will be taken as hostages. If they don't solve the request of the man within 12 hours, the bombs attached to the hostages will explode. Furthermore, the man know that Conan`s true identity is Kudo Shinichi. Also Hattori Heiji, the High School Detective of the West, and Kaito Kid enter the stage. Will they be able to solve the mystery within the time limit and save Ran and the others? And who in the world is the client?",12.674,2006-04-15,Detective Conan: The Private Eyes' Requiem,7.0,113
Venom,"A group of teenagers fear for their lives in the swamps of Louisiana, chased by Mr. Jangles, a man possessed by 13 evil souls, and now relentless in his pursuit of new victims.",11.924,2005-09-16,Venom,5.5,286
Beerfest,"During a trip to Germany to scatter their grandfather's ashes, German-American brothers Todd and Jan discover Beerfest, the secret Olympics of downing stout, and want to enter the contest to defend their family's beer-guzzling honor. Their Old Country cousins sneer at the Yanks' chances, prompting the siblings to return to America to prepare for a showdown the following year.",11.874,2006-08-25,Beerfest,5.9,476
Crocodile Dundee,"When a New York reporter plucks crocodile hunter Mick Dundee from the Australian Outback for a visit to the Big Apple, it's a clash of cultures and a recipe for good-natured comedy as naïve Dundee negotiates the concrete jungle. He proves that his instincts are quite useful in the city and adeptly handles everything from wily muggers to high-society snoots without breaking a sweat.",15.622,1986-09-26,Crocodile Dundee,6.4,1664
Коты Эрмитажа,A cartoon about the famous four-legged inhabitants of the St. Petersburg Winter Palace - museum cats that protect the territory of the State Hermitage from rats and mice.,16.5,2023-03-23,Cats in the Museum,5.7,3
Barton Fink,A renowned New York playwright is enticed to California to write for the movies and discovers the hellish truth of Hollywood.,13.871,1991-08-01,Barton Fink,7.5,1459
Tyson's Run,"When fifteen-year-old Tyson attends public school for the first time, his life is changed forever. While helping his father clean up after the football team, Tyson befriends champion marathon runner Aklilu. Never letting his autism hold him back, Tyson becomes determined to run his first marathon in hopes of winning his father's approval.  With the help of an unlikely friend and his parents, Tyson learns that with faith in yourself and the courage to take the first step, anything is possible.",12.251,2022-03-04,Tyson's Run,8.5,68
D컵 여자친구,"An earnest request from a friend who can't handle the girlfriend's sexual desire! Would you like to play with my girlfriend? Jinyoung, who lives in Tokyo in a rural area and sits in the house of his university friend, Unlike Jinyoung, who is a soloist, he has a relationship with two women. Two women from each other come to the house and have sex with each other. Jinyoung, who has endured because it is a mutual home, But I can’t stand the groaning that I hear every day. Carefully complains, but unexpectedly Rather, he asked Jinyoung for help. Actually, I came across two women, Miju and Soyoung, Both of them complain that their sexual desire is so strong that they are physically and mentally difficult now. The trade name asks Jinyoung to get one of them because he likes either. Indeed, who will Jinyoung choose between his friend's two girlfriends?",11.97,2020-11-13,D Cup Girlfriend,6.0,1
プロメア,"Galo and the Burning Rescue Fire Department face off against BURNISH, a group of mutants who are able to control and wield flames, and the fire disaster they have unleashed on Earth.",15.383,2019-05-24,Promare,7.0,224
Labor Day,"Depressed single mom Adele and her son Henry offer a wounded, fearsome man a ride. As police search town for the escaped convict, the mother and son gradually learn his true story as their options become increasingly limited.",14.675,2013-12-27,Labor Day,7.0,999
牯嶺街少年殺人事件,"A boy experiences first love, friendships and injustices growing up in 1960s Taiwan.",12.621,1991-07-27,A Brighter Summer Day,8.3,254
어린 처제 2,"CEO Seung-tae is in an affair with his sister-in-law So-young who works for him. One day, a rookie named Young-chul finds out about them and threatenens So-young that he'll tell the CEO's wife about them and spends anight with her.  He continues to threaten and bully her. So-young is scared that her affair with her brother-in-law will cause trouble with her half-sister Hye-sun...",18.21,2018-08-14,Young Sister-in-law 2,7.0,1
The Map of Tiny Perfect Things,The story of two teenagers trapped in an endless time loop who set out to find all the tiny things that make that one day perfect.,14.191,2021-02-12,The Map of Tiny Perfect Things,7.2,625
Seven Brides for Seven Brothers,"In 1850 Oregon, when a backwoodsman brings a wife home to his farm, his six brothers decide that they want to get married too.",14.171,1954-07-22,Seven Brides for Seven Brothers,7.2,479
Go,"Grocery store clerk Simon occasionally sells drugs from his cash register at work, so when soap opera actors Adam and Zack come looking for Ecstasy on a quiet Christmas Eve, they are surprised to find Ronna covering his shift. Desperate for money, Ronna decides to become an impromptu drug dealer, unaware that Adam and Zack are secretly working for obsessed narcotics officer Burke.",13.671,1999-04-09,Go,6.8,582
엄마친구 5,"Jae-hong is studying for his college entrance exam for the third time when his mother's sexy friend Eun-jin gets a divorce and comes to live with them until she finds a place to stay. Day by day, Jae-hong gets attracted to her sexy body. Not only that, his father Young-ho is also attracted to her...",12.929,2018-08-24,Mom's Friend 5,0.0,0
Cool World,"A bizarre accident lands Frank Harris in Cool World, a realm of cartoons. Years later, cartoonist Jack Deebs, who's been drawing Cool World, crosses over as well. He sets his lustful sights on animated femme fatale Holli Would, but she's got plans of her own to become real, and it's up to Frank to stop her.",17.369,1992-07-10,Cool World,5.6,621
Stop! Or My Mom Will Shoot,"A tough police sergeant's mother comes to visit him, and promptly starts trying to fix up his life, much to his embarrassment. For his birthday she buys him a machine gun out of the back of a van, and begins to further interfere with his job and love life, eventually helping him with a case he's on.",12.669,1992-02-21,Stop! Or My Mom Will Shoot,5.3,892
Road House,"The Double Deuce is the meanest, loudest and rowdiest bar south of the Mason-Dixon Line, and Dalton has been hired to clean it up. He might not look like much, but the Ph.D.-educated bouncer proves he's more than capable -- busting the heads of troublemakers and turning the roadhouse into a jumping hot-spot. But Dalton's romance with the gorgeous Dr. Clay puts him on the bad side of cutthroat local big shot Brad Wesley.",14.835,1989-05-19,Road House,6.6,917
Holes,A wrongfully convicted boy is sent to a brutal desert detention camp where he must dig holes in order to build character. What he doesn't know is that he is digging holes in order to search for a lost treasure hidden somewhere in the camp.,19.87,2003-04-18,Holes,6.8,1194
The Reading,"After a deadly home invasion, Emma (Mo'Nique Hicks) copes by writing a book, but when a young psychic and her team perform a reading in her home, a new terror is unleashed.",16.108,2023-02-02,The Reading,7.5,18
The Rookie,"Jim Morris never made it out of the minor leagues before a shoulder injury ended his pitching career twelve years ago. Now a married-with-children high-school chemistry teacher and baseball coach in Texas, Jim's team makes a deal with him: if they win the district championship, Jim will try out with a major-league organization. The bet proves incentive enough for the team, and they go from worst to first, making it to state for the first time in the history of the school. Jim, forced to live up to his end of the deal, is nearly laughed off the try-out field--until he gets onto the mound, where he confounds the scouts (and himself) by clocking successive 98 mph fastballs, good enough for a minor-league contract with the Tampa Bay Devil Rays. Jim's still got a lot of pitches to throw before he makes it to The Show, but with his big-league dreams revived, there's no telling where he could go.",17.669,2002-03-25,The Rookie,6.7,387
名探偵コナン ベイカー街（ストリート）の亡霊,"Noah's Ark—the latest in VR technology and a milestone of human innovation—is set for a showcase to Japan's privileged children. They have the honour of beginning a new revolution in gaming; however, their carefree fun is cut short when a company employee is found murdered, with his dying message pointing to a clue hidden within the Ark.  Along with the Detective Boys and Ran Mouri, Conan Edogawa enters Noah's Ark to solve this mystery and ensure the perpetrator is caught. But once they're inside the Ark, it takes on a mind of its own, imprisoning them and the children within its worlds. To escape and bring the murderer to justice, Conan and company must navigate a simulated 19th century London and track down the infamous Jack the Ripper—with the lives of 50 innocent children depending on them.",15.669,2002-04-20,Detective Conan: The Phantom of Baker Street,7.6,165
Daddy Issues,A young dominatrix encounters an unexpected client.,9.828,2023-06-09,Daddy Issues,0.0,0
하루,"Three years ago,  a father saved his daughter's life. After she's involved in a car accident, it looks like he'll have to do it again, no matter how many attempts it takes.",14.425,2017-06-15,A Day,7.9,126
The Adjustment Bureau,"A man glimpses the future Fate has planned for him – and chooses to fight for his own destiny. Battling the powerful Adjustment Bureau across, under and through the streets of New York, he risks his destined greatness to be with the only woman he's ever loved.",16.37,2011-03-03,The Adjustment Bureau,6.7,4082
La jefa,"When a fashion employee thinks she will have to end her promising career after getting pregnant, her boss offers to adopt the child.",20.226,2022-04-29,Under Her Control,5.4,79
ジムノペディに乱れる,"Shinji is a middle-aged, sleaze film director who used to be famous. He hardly goes back home and moves from one woman to another. In spite of his idleness, women are very fond of him and look after him compassionately for whatever reason.",11.814,2016-10-10,Aroused by Gymnopedies,6.5,13
Splash,"A successful businessman falls in love with the girl of his dreams. There's one big complication though; he's fallen hook, line and sinker for a mermaid.",14.667,1984-03-09,Splash,6.2,1178
Muppets Haunted Mansion,Gonzo is challenged to spend one night in The Haunted Mansion on Halloween night.,19.697,2021-10-08,Muppets Haunted Mansion,6.5,162
Inheritance,"The patriarch of a wealthy and powerful family suddenly passes away, leaving his wife and daughter with a shocking secret inheritance that threatens to unravel and destroy their lives.",18.182,2020-04-30,Inheritance,6.3,489
La mala educación,"Two children, Ignacio and Enrique, know love, the movies and fear in a religious school at the beginning of the 1960s. Father Manolo, director of the school and its professor of literature, is witness to and part of these discoveries. The three are followed through the next few decades, their reunion marking life and death.",13.617,2004-03-19,Bad Education,7.4,827
追爱时光机,Young student finds a time machine and ventures to the past to win a girl before she meets her husband,14.485,2018-04-04,Chasing Love Time Machine,6.0,2
Every Breath You Take,"A psychiatrist, whose client commits suicide, finds his family life disrupted after introducing her surviving brother to his wife and daughter.",13.189,2021-04-02,Every Breath You Take,6.0,201
늑대소년,"An unexpected phone call brings an elderly woman to her childhood country cottage, and memories of an orphan boy she knew 47 years ago come flooding back to her.",15.42,2012-10-31,A Werewolf Boy,7.7,232
Curious George,"When The Man in the Yellow Hat befriends Curious George in the jungle, they set off on a non-stop, fun-filled journey through the wonders of the big city toward the warmth of true friendship.",15.668,2006-02-10,Curious George,6.4,452
Monster High: Scaris City of Frights,"The Monstruitas of Monster High are obsessed with going to Scaris, The City of Frights for Fashion international competition where the winner will become the apprentice of the world famous Madame Ghostier designer.",15.02,2013-03-03,Monster High: Scaris City of Frights,7.7,112
1Up,"After Valerie Lee quits her college esports team, she quickly realizes that her decision comes at the cost of her scholarship. Valerie soon discovers a loophole to save her collegiate future, if she can find a coach and assemble a whole new varsity-caliber team capable of reaching the State Finals.",20.216,2022-07-15,1Up,5.1,26
Sabrina,"Linus and David Larrabee are the two sons of a very wealthy family. Linus is all work – busily running the family corporate empire, he has no time for a wife and family. David is all play – technically he is employed by the family business, but never shows up for work, spends all his time entertaining, and has been married and divorced three times. Meanwhile, Sabrina Fairchild is the young, shy, and awkward daughter of the household chauffeur, who goes away to Paris for two years, and returns to capture David's attention, while falling in love with Linus.",17.367,1954-09-10,Sabrina,7.5,1095
Hanna,"Raised by her father, an ex-CIA agent, in the wilds of Finland, Hanna's upbringing has been geared to making her the perfect assassin. Sent into the world by her father on a mission, Hanna journeys across Europe, eluding agents dispatched after her by a ruthless intelligence operative. As she nears her ultimate target, Hanna faces startling revelations about her existence.",15.869,2011-04-07,Hanna,6.6,3059
Love in the Villa,"A young woman takes a trip to romantic Verona, Italy, after a breakup, only to find that the villa she reserved was double-booked, and she'll have to share her vacation with a cynical British man.",18.482,2022-09-01,Love in the Villa,6.0,274
Alpha House,"When two freshmen pledges are accepted into the biggest party frat on campus, they think they have it all. That is, until the assistant dean forces the Alphas to share their house with a sorority or face expulsion from school. Not wanting to see their lifelong dream of becoming Alphas destroyed, the pledges convince the other members of the house to take back what's theirs, waging an epic battle of the sexes to fight for their right to party.",16.119,2014-03-11,Alpha House,4.6,65
一吻定情,"After an earthquake destroys Xiang Qin's house, she and her father move in with the family of her father's college buddy. To her surprise, her new kind and amicable aunt and uncle are the parents of her cold and distant schoolmate, Jiang Zhi Shu, a genius with an IQ of 200 whom not too long ago rejected her when she confessed her feelings for him. Will the close proximity give her a second chance to win Zhi Shu's heart? Or will her love for him end under his cold words?",14.606,2019-02-14,Fall in Love at First Kiss,6.6,81
챌린지 게임,"Florist Ae-ran and forensics investigator Min-ho  from the Public Prosecutor's Office both have a family that everyone wants. However, Min-ho can't handle bed time so Ae-ran starts a 'challenge game' in which she seduces and has sex with strange men. One day, Ae-ran and Min-ho meet Alex at a tango cafe. Alex is interested in Ae-ran and approaches her while Ae-ran takes interest in Alex who is more handsome than her husband. Min-ho later witnesses them in action and gets angry when he finds out the man Ae-ran seduced is Alex. Min-ho feels nervous because he finds out Alex isn't just a game partner and approached him for a reason. Min-ho tries to get rid of Alex but Alex chokes Ae-ran and Min-ho even more and feels catharsis. The game they started is turning into a catastrophe...",17.351,2016-08-04,Challenge Game,6.7,6
Downtown Owl,"Based on the novel by Chuck Klosterman, Downtown Owl thrusts viewers into small-town Owl, North Dakota, as a motley crew of characters brace for a historic blizzard.",12.247,2023-06-08,Downtown Owl,0.0,0
爛れた関係 猫股のオンナ,"The married woman, Suzu, was hiding behind her husband, Yuichi, who was assigned to work alone, and had an affair with her colleague Tobe. However, as Yuichi returned to Tokyo, Suzu and Tobe had a quarrel, and Tobe pondered and grabbed Suzu's arm and jumped out onto the road to measure his heart. Upon hearing the news, Yuichi rushes to the hospital where the bell was brought in, but is shocked to hear the story of the matter from the managing director who had come earlier. Meanwhile, he meets Tobe's wife, Manami, who wears mourning clothes, and her daughter, Akane.",13.493,2020-09-02,Tadareta kankei: Neko mata no onna,6.0,2
The Wishmas Tree,"A young possum's misguided wish for a white Wishmas not only freezes her entire hometown of Sanctuary City, but also threatens the lives of all who live there. Before the magical Wishmas Tree dies, she must undertake a perilous journey into the WILD; battling self-doubt, ghostly predators and ultimately, Extinction itself, to reverse the damage she has caused and save her city.",17.25,2020-02-27,The Wishmas Tree,6.5,69
Twist,"A Dickens classic brought thrillingly up to date in the teeming heartland of modern London, where a group of street smart young hustlers plan the heist of the century for the ultimate payday.",13.686,2021-01-22,Twist,6.0,164
Better Watch Out,"On a quiet suburban street tucked within a 'safe neighborhood', a babysitter must defend a twelve-year-old boy from strangers breaking into the house, only to discover that this is far from a normal home invasion.",14.373,2017-10-06,Better Watch Out,6.7,1287
The Secret Garden,"A young British girl born and reared in India loses her neglectful parents in an earthquake. She is returned to England to live at her uncle's castle. Her uncle is very distant due to the loss of his wife ten years before. Neglected once again, she begins exploring the estate and discovers a garden that has been locked and neglected. Aided by one of the servants' boys, she begins restoring the garden, and eventually discovers some other secrets of the manor.",13.415,1993-08-13,The Secret Garden,7.4,799
Richard Jewell,"Richard Jewell thinks quick, works fast, and saves hundreds, perhaps thousands, of lives after a domestic terrorist plants several pipe bombs and they explode during a concert, only to be falsely suspected of the crime by sloppy FBI work and sensational media coverage.",11.178,2019-12-13,Richard Jewell,7.4,2203
Jingle All the Way,"Howard Langston, a salesman for a mattress company, is constantly kept busy at his job, disappointing his son. After he misses his son's karate exposition, Howard vows to make it up to him by buying an action figure of his son's favorite television hero for Christmas. Unfortunately for Howard, it is Christmas Eve, and every store is sold out of Turbo Man. Now, Howard must travel all over town and compete with everybody else to find a Turbo Man action figure.",17.565,1996-11-21,Jingle All the Way,6.0,2288
When We First Met,"Noah spends the perfect first night with the girl of his dreams Avery but gets relegated to the friend zone. He spends the next three years wondering what went wrong - until he gets the unexpected chance to travel back in time and alter that night, and his fate, over and over again.",12.673,2018-02-09,When We First Met,6.6,2154
The Boondock Saints,"Tired of the crime overrunning the streets of Boston, Irish Catholic twin brothers Conner and Murphy are inspired by their faith to cleanse their hometown of evil with their own brand of zealous vigilante justice. As they hunt down and kill one notorious gangster after another, they become controversial folk heroes in the community. But Paul Smecker, an eccentric FBI agent, is fast closing in on their blood-soaked trail.",19.064,1999-01-22,The Boondock Saints,7.3,2119
This Is 40,"Pete and Debbie are both about to turn 40, their kids hate each other, both of their businesses are failing, they're on the verge of losing their house, and their relationship is threatening to fall apart.",19.367,2012-12-20,This Is 40,5.8,1969
