original_title,overview,popularity,release_date,title,vote_average,vote_count
The Last Kingdom: Seven Kings Must Die,"In the wake of King Edward's death, Uhtred of Bebbanburg and his comrades adventure across a fractured kingdom in the hopes of uniting England at last.",417.773,2023-04-14,The Last Kingdom: Seven Kings Must Die,7.3,420
Murder Mystery 2,"After starting their own detective agency, Nick and Audrey Spitz land a career-making case when their billionaire pal is kidnapped from his wedding.",419.281,2023-03-28,Murder Mystery 2,6.6,1134
Chupa,"While visiting family in Mexico, a lonely boy befriends a mythical creature hiding on his grandfather's ranch and embarks on the adventure of a lifetime.",373.153,2023-04-07,Chupa,6.5,254
The Tutor,"When a professional tutor takes a job at a remote manor, he soon finds himself battling his disturbed student’s obsessions, which threaten to expose his darkest secrets and unravel his carefully crafted persona.",395.826,2023-03-24,The Tutor,6.4,17
Malum,A rookie police officer willingly takes the last shift at a newly decommissioned police station in an attempt to uncover the mysterious connection between her father's death and a vicious cult.,397.68,2023-03-31,Malum,6.1,26
AKA,A steely special ops agent finds his morality put to the test when he infiltrates a crime syndicate and unexpectedly bonds with the boss' young son.,359.505,2023-04-28,AKA,7.1,362
Grotesque,Mildred Moyer transforms from shy misfit to loveable psychopath when her back-alley plastic surgery is botched. Mildred finds herself living her best life as she unleashes brutal vengeance on all those who tormented her in the past.,394.451,2022-07-30,Grotesque,3.5,6
Beautiful Disaster,"Bad-boy Travis is exactly what college freshman Abby needs and wants to avoid. He spends his nights fighting in underground boxing matches, and his days as the ultimate college campus charmer. But Abby wants nothing to do with Travis. Intrigued by Abby’s resistance, Travis offers her a simple bet: if he loses his next fight, he must remain sex-free for a month. If he wins, Abby must live in his apartment for the same amount of time. Either way, Travis has no idea that Abby’s dark past is about to emerge, and he may have finally met his match.",329.297,2023-04-04,Beautiful Disaster,6.3,242
Spider-Man: Beyond the Spider-Verse,The further continuing story of Miles Morales and the many other Spider-People from different realities.,286.309,2024-03-27,Spider-Man: Beyond the Spider-Verse,0.0,0
Polite Society,"Martial artist-in-training Ria Khan believes she must save her older sister Lena from her impending marriage. After enlisting the help of her friends, Ria attempts to pull off the most ambitious of all wedding heists in the name of independence and sisterhood.",355.922,2023-04-27,Polite Society,6.7,49
Plane,"After a heroic job of successfully landing his storm-damaged aircraft in a war zone, a fearless pilot finds himself between the agendas of multiple militias planning to take the plane and its passengers hostage.",281.824,2023-01-12,Plane,6.9,1302
Lullaby,A new mother discovers a lullaby in an ancient book and soon regards the song as a blessing. But her world transforms into a nightmare when the lullaby brings forth the ancient demon Lilith.,390.37,2022-12-16,Lullaby,5.7,30
Cocaine Bear,"Inspired by a true story, an oddball group of cops, criminals, tourists and teens converge in a Georgia forest where a 500-pound black bear goes on a murderous rampage after unintentionally ingesting cocaine.",343.895,2023-02-22,Cocaine Bear,6.3,1157
The Little Mermaid,This colorful adventure tells the story of an impetuous mermaid princess named Ariel who falls in love with the very human Prince Eric and puts everything on the line for the chance to be with him. Memorable songs and characters -- including the villainous sea witch Ursula.,314.483,1989-11-17,The Little Mermaid,7.4,7107
Dead Shot,"In the 1970s, a member of the IRA takes over an Active Service Unit in London after his wife is accidentally shot dead in Ireland. The unit's mission is to cause chaos and destruction, while his personal aim is to hunt down his wife’s killer — an SAS captain, who is also hunting him.",342.143,2023-05-12,Dead Shot,6.2,24
M3GAN,"A brilliant toy company roboticist uses artificial intelligence to develop M3GAN, a life-like doll programmed to emotionally bond with her newly orphaned niece. But when the doll's programming works too well, she becomes overprotective of her new friend with terrifying results.",340.856,2022-12-28,M3GAN,7.3,2739
